title,url,best_date_,claims,country_of_owner,primary_country,secondary_countries,robot_country_codes,language_code
Video Of Mock Drill On COVID-19 Preparedness In Punjab Viral As Real,https://www.boomlive.in/fake-news/video-of-mock-drill-on-covid-19-preparedness-in-punjab-viral-as-real-7254,2020-03-17,"[""Video shows policemen arrested patients of COVID-19 in Punjab""]",IN,IN,[],"[""in"",""cn""]",en
[Fakta atau Hoaks] Benarkah Masker dari Tisu Basah Efektif Tangkal Penularan Virus Corona?,https://cekfakta.tempo.co/fakta/653/fakta-atau-hoaks-benarkah-masker-dari-tisu-basah-efektif-tangkal-penularan-virus-corona,2020-03-04,"[""Masker dari tisu basah efektif untuk menggantikan masker biasa dalam menangkal penularan virus Corona Covid-19""]",ID,ID,[],"[""us"",""id""]",id
"‘Coronavirus’ no ha llegado a Guaviare, ni hay un avión en cuarentena",https://colombiacheck.com/chequeos/coronavirus-no-ha-llegado-guaviare-ni-hay-un-avion-en-cuarentena?page=1,2020-02-13,"[""Hay un avión en cuarentena por coronavirus en Guaviare y casos en Bogotá""]",CO,CO,[],"[""co""]",es
"Medicamento para tratar el coronavirus sí es cubano, pero no ha curado 1.500 personas",https://colombiacheck.com/chequeos/medicamento-para-tratar-el-coronavirus-si-es-cubano-pero-no-ha-curado-1500-persona?page=2,2020-02-29,"[""1500 chinos se curaron de coronavirus por fármaco cubano Interferón alfa 2B""]",CO,CO,[],"[""co""]",es
En la Terminal de Cali no se desmayó una persona con coronavirus (Covid-19),https://www.colombiacheck.com/index.php/chequeos/en-la-terminal-de-cali-no-se-desmayo-una-persona-con-coronavirus-covid-19,2020-03-10,"[""En la Terminal de Transporte de Cali se desmayó una persona con coronavirus""]",CO,CO,[],"[""co"",""pr""]",es
“Uncle’s notes” for guidance on COVID-19 coronavirus treatment are misguided,https://www.aap.com.au/uncles-notes-for-guidance-on-covid-19-coronavirus-treatment-are-misguided/,2020-03-13,"[""A Facebook post claims to be a list of advice on coronavirus treatment from a graduate \""with a master's degree\"" who \""worked in Shenzhen Hospital.\""""]",AU,AU,[],"[""au""]",en
"Točne su izjave ministra Beroša da Hrvatska trenutno stoji bolje od većine zemalja u okruženju, ali malo testiramo - Faktograf.hr",https://faktograf.hr/2020/03/19/tocne-su-izjave-ministra-berosa-da-hrvatska-trenutno-stoji-bolje-od-vecine-zemalja-u-okruzenju-ali-malo-testiramo/,2020-03-19,"[""Kad je riječ o zarazi korona virusom, Hrvatska stoji znatno bolje od zemalja u okruženju.""]",HR,HR,[],"[""de"",""ir"",""ch"",""rs"",""sk"",""cn"",""si"",""hr"",""es"",""fr"",""ru"",""mk"",""ba"",""sm"",""ro"",""ni"",""it""]",hr
ফ্যাক্ট চেক: করোনা ভাইরাস সামাল দেওয়ার জন্য চীন কি কুড়ি হাজার আক্রান্তকে মেরে ফেলতে চাইছে?,https://www.dailyo.in/bangla/fact-check/india-today-fact-check-china-sought-to-kill-coronavirus-affected-patients/story/1/32461.html,2020-02-13,"[""করোনা ভাইরাস সামাল দেওয়ার জন্য চীন কুড়ি হাজার আক্রান্তকে মেরে ফেলতে চাইছে""]",IN,IN,[],"[""bd"",""in""]",bn
Is COVID-19 Causing a Mass Conversion to Islam?,https://dubawa.org/is-covid-19-causing-a-mass-islam-conversion/,2020-02-25,"[""Twitter posts suggest a multitude are converting to Islam in China for fear of COVID-19 outbreak.""]",NG,NG,"[""GH""]","[""ng""]",en
Fiocruz diz que o coronavírus é maior do que o normal e recomenda gargarejar água morna #boato,https://www.boatos.org/saude/fiocruz-coronavirus-maior-normal-recomenda-gargarejar-agua-morna.html,2020-03-16,"[""FIOCRUZ O Corona vírus é maior do que o normal; o diâmetro da célula é de 400 a 500 mícrons e, por esse motivo, qualquer máscara impede a sua entrada no organismo.""]",BR,BR,[],"[""br""]",pt
Fact Check: This viral audio clip on coronavirus is not Dr Devi Shetty's,https://www.indiatoday.in/fact-check/story/viral-audio-clip-coronavirus-not-dr-devi-shetty-1657486-2020-03-19,2020-03-19,"[""The viral audio clip on coronavirus is Dr Devi Shetty's.""]",IN,IN,[],"[""in""]",en
बाराबंकी में कोरोनावायरस संक्रमित मरीज की पुष्टि होने की अफवाह हुई वायरल,https://www.factcrescendo.com/no-case-of-coronavirus-in-barabanki/,2020-02-11,"[""One positive patient for Coronavirus found in Barabanki, India""]",IN,IN,[],"[""in""]",hi
"फैक्ट चेक: चीन ने नहीं मांगी कोरोना वायरस के 20000 मरीजों को मारने की अनुमति, वायरल पोस्ट फर्जी",https://aajtak.intoday.in/story/fact-check-china-coronavirus-permission-to-kill-20000-patients-viral-post-fake-1-1161885.html,2020-02-08,"[""चीन ने कोर्ट से कोरोना वायरस के 20000 मरीजों को मारने की अनुमति मांगी""]",IN,IN,[],"[""cn"",""in""]",hi
Clorox bottles don't prove the coronavirus was 'developed' before the outbreak,https://www.politifact.com/factchecks/2020/jan/30/facebook-posts/clorox-bottles-dont-prove-coronavirus-was-develope/,2020-01-31,"[""Says a \""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed.\""""]",US,US,[],"[""cn"",""us""]",en
Chinese police 'shooting down' coronavirus patients? Manufactured clip viral,https://www.altnews.in/chinese-police-shooting-down-coronavirus-patients-manufactured-clip-viral/,2020-02-14,"[""Video of 25,000 coronavirus patients killed in China""]",IN,IN,[],"[""in"",""cn""]",en
En Caldas hay un caso confirmado de Coronavirus,https://www.colombiacheck.com/chequeos/en-caldas-no-hay-casos-confirmados-de-coronavirus?page=2,2020-03-16,"[""Hay casos de Coronavirus en Manizales y Villamaría""]",CO,CO,[],"[""co""]",es
"No, Egipto no creó un suero que cura el COVID-19",https://www.animalpolitico.com/elsabueso/no-egipto-no-creo-un-suero-que-cura-el-covid-19/,2020-03-13,"[""Ya existe una cura egipcia para el coronavirus""]",MX,MX,[],"[""mx"",""eg"",""cn""]",es
Will the New Coronavirus 'Go Away' in April?,https://www.factcheck.org/2020/02/will-the-new-coronavirus-go-away-in-april/,2020-02-14,"[""\""It looks like by April, you know in theory, when it gets a little warmer, [the new coronavirus] miraculously goes away — I hope that’s true.\""""]",US,US,[],"[""cn"",""us"",""ca"",""sg""]",en
[Fakta atau Hoaks] Benarkah Orang-orang dalam Video Ini Berjatuhan Karena Terinfeksi Virus Corona?,https://cekfakta.tempo.co/fakta/677/fakta-atau-hoaks-benarkah-orang-orang-dalam-video-ini-berjatuhan-karena-terinfeksi-virus-corona,2020-03-18,"[""Video yang diklaim sebagai video warga Jakarta yang berjatuhan karena terinfeksi virus Corona Covid-19""]",ID,ID,[],"[""sg"",""id""]",id
La cocaína no combate el coronavirus,https://colombiacheck.com/index.php/chequeos/la-cocaina-no-combate-el-coronavirus?page=1,2020-02-18,"[""Cocaína mata el coronavirus""]",CO,CO,[],"[""co""]",es
These photos show India’s annual cow dung festival in October 2019 -- weeks before the coronavirus outbreak,https://factcheck.afp.com/these-photos-show-indias-annual-cow-dung-festival-october-2019-weeks-coronavirus-outbreak,2020-03-18,"[""Photos show people in India bathing in cow dung to prevent COVID-19 infection""]",FR,US,"[""CA"",""IN"",""AU""]","[""in""]",en
கொரோனா வைரஸ் பற்றி யுனிசெப் முன்னெச்சரிக்கை டிப்ஸ் எதுவும் வெளியிட்டுள்ளதா?,https://tamil.factcrescendo.com/factcheck-has-unicef-issued-bulletin-advisory-on-coronavirus/,2020-03-06,"[""Claim: Has UNICEF issued bulletin advisory on coronavirus""]",IN,IN,"[""LK""]","[""in"",""lk""]",ta
